component_name,blood_type,date,required,supplied,received,expired,final_stock
rbc,A+,2006-01-01,365,365,1961,0,1596
rbc,A+,2006-01-02,342,342,25,0,1279
rbc,A+,2006-01-03,326,326,13,0,966
rbc,A+,2006-01-04,192,192,14,0,788
rbc,A+,2006-01-05,154,154,17,0,651
rbc,A+,2006-01-06,307,307,12,0,356
rbc,A+,2006-01-07,457,379,24,0,1
rbc,A+,2006-01-08,215,215,3542,0,3328
rbc,A+,2006-01-09,472,472,24,0,2880
rbc,A+,2006-01-10,678,678,29,0,2231
rbc,A+,2006-01-11,367,367,31,0,1895
rbc,A+,2006-01-12,1161,1161,25,0,759
rbc,A+,2006-01-13,442,442,39,0,356
rbc,A+,2006-01-14,683,374,19,0,1
rbc,A+,2006-01-15,772,25,25,0,1
rbc,A+,2006-01-16,632,17,17,0,1
rbc,A+,2006-01-17,365,19,21,0,3
rbc,A+,2006-01-18,133,133,4103,0,3973
rbc,A+,2006-01-19,233,233,17,0,3757
rbc,A+,2006-01-20,203,203,14,0,3568
rbc,A+,2006-01-21,245,245,16,0,3339
rbc,A+,2006-01-22,192,192,17,0,3164
rbc,A+,2006-01-23,441,441,24,0,2747
rbc,A+,2006-01-24,230,230,24,0,2541
rbc,A+,2006-01-25,546,546,18,0,2013
rbc,A+,2006-01-26,229,229,18,0,1802
rbc,A+,2006-01-27,508,508,26,0,1320
rbc,A+,2006-01-28,359,359,22,0,983
rbc,A+,2006-01-29,517,517,15,0,481
