component_name,blood_type,date,required,supplied,received,expired,final_stock
rbc,A+,2006-01-01,444,444,5613,0,5169
rbc,A+,2006-01-02,307,307,11,0,4873
rbc,A+,2006-01-03,228,228,6,0,4651
rbc,A+,2006-01-04,153,153,17,0,4515
rbc,A+,2006-01-05,260,260,18,0,4273
rbc,A+,2006-01-06,306,306,23,0,3990
rbc,A+,2006-01-07,293,293,18,0,3715
rbc,A+,2006-01-08,275,275,19,0,3459
rbc,A+,2006-01-09,1385,1385,41,0,2115
rbc,A+,2006-01-10,1351,1351,48,0,812
rbc,A+,2006-01-11,965,839,30,0,3
rbc,A+,2006-01-12,788,40,45,0,8
rbc,A+,2006-01-13,685,685,6368,0,5691
rbc,A+,2006-01-14,405,405,19,0,5305
rbc,A+,2006-01-15,495,495,11,0,4821
rbc,A+,2006-01-16,1085,1085,33,0,3769
rbc,A+,2006-01-17,804,804,33,0,2998
rbc,A+,2006-01-18,237,237,8,0,2769
rbc,A+,2006-01-19,98,98,8,0,2679
rbc,A+,2006-01-20,350,350,10,0,2339
rbc,A+,2006-01-21,145,145,17,0,2211
rbc,A+,2006-01-22,271,271,10,0,1950
rbc,A+,2006-01-23,672,672,13,0,1291
rbc,A+,2006-01-24,476,476,38,0,853
rbc,A+,2006-01-25,961,961,8850,0,8742
rbc,A+,2006-01-26,588,588,29,0,8183
rbc,A+,2006-01-27,217,217,18,0,7984
rbc,A+,2006-01-28,300,300,11,0,7695
rbc,A+,2006-01-29,460,460,28,0,7263
rbc,A+,2006-01-30,266,266,29,0,7026
rbc,A+,2006-01-31,371,371,19,0,6674
rbc,A+,2006-02-01,339,339,32,0,6367
rbc,A+,2006-02-02,661,661,29,0,5735
rbc,A+,2006-02-03,335,335,25,0,5425
rbc,A+,2006-02-04,385,385,16,0,5056
rbc,A+,2006-02-05,189,189,7,0,4874
rbc,A+,2006-02-06,410,410,21,0,4485
rbc,A+,2006-02-07,682,682,18,0,3821
rbc,A+,2006-02-08,637,637,21,0,3205
rbc,A+,2006-02-09,764,764,35,0,2476
rbc,A+,2006-02-10,367,367,26,0,2135
rbc,A+,2006-02-11,201,201,17,0,1951
rbc,A+,2006-02-12,568,568,35,0,1418
rbc,A+,2006-02-13,463,463,28,0,983
rbc,A+,2006-02-14,138,138,6895,0,7740
rbc,A+,2006-02-15,198,198,11,203,7350
rbc,A+,2006-02-16,661,661,24,0,6713
rbc,A+,2006-02-17,653,653,33,0,6093
rbc,A+,2006-02-18,294,294,9,0,5808
rbc,A+,2006-02-19,860,860,30,0,4978
rbc,A+,2006-02-20,1090,1090,51,0,3939
rbc,A+,2006-02-21,800,800,38,0,3177
rbc,A+,2006-02-22,898,898,22,0,2301
rbc,A+,2006-02-23,1648,1648,42,0,695
rbc,A+,2006-02-24,1408,733,41,0,3
rbc,A+,2006-02-25,973,33,35,0,5
rbc,A+,2006-02-26,456,456,5765,0,5314
rbc,A+,2006-02-27,326,326,17,0,5005
rbc,A+,2006-02-28,151,151,15,0,4869
rbc,A+,2006-03-01,192,192,13,0,4690
rbc,A+,2006-03-02,106,106,20,0,4604
rbc,A+,2006-03-03,104,104,16,0,4516
rbc,A+,2006-03-04,110,110,8,0,4414
rbc,A+,2006-03-05,333,333,17,0,4098
rbc,A+,2006-03-06,676,676,36,0,3458
rbc,A+,2006-03-07,220,220,11,0,3249
rbc,A+,2006-03-08,212,212,17,0,3054
rbc,A+,2006-03-09,312,312,19,0,2761
rbc,A+,2006-03-10,221,221,5,0,2545
rbc,A+,2006-03-11,85,85,10,0,2470
rbc,A+,2006-03-12,141,141,12,0,2341
rbc,A+,2006-03-13,544,544,16,0,1813
rbc,A+,2006-03-14,202,202,12,0,1623
rbc,A+,2006-03-15,666,666,22,0,979
rbc,A+,2006-03-16,966,966,8649,0,8662
rbc,A+,2006-03-17,420,420,17,0,8259
rbc,A+,2006-03-18,1136,1136,28,0,7151
rbc,A+,2006-03-19,816,816,33,0,6368
rbc,A+,2006-03-20,398,398,17,0,5987
rbc,A+,2006-03-21,847,847,36,0,5176
rbc,A+,2006-03-22,528,528,25,0,4673
rbc,A+,2006-03-23,486,486,15,0,4202
rbc,A+,2006-03-24,351,351,16,0,3867
rbc,A+,2006-03-25,138,138,13,0,3742
rbc,A+,2006-03-26,520,520,27,0,3249
rbc,A+,2006-03-27,280,280,13,0,2982
rbc,A+,2006-03-28,779,779,20,0,2223
rbc,A+,2006-03-29,524,524,18,0,1717
rbc,A+,2006-03-30,533,533,35,0,1219
rbc,A+,2006-03-31,514,514,19,0,724
rbc,A+,2006-04-01,293,293,6968,0,7399
rbc,A+,2006-04-02,324,324,20,0,7095
rbc,A+,2006-04-03,473,473,28,0,6650
rbc,A+,2006-04-04,391,391,15,0,6274
rbc,A+,2006-04-05,331,331,16,0,5959
rbc,A+,2006-04-06,144,144,6,0,5821
rbc,A+,2006-04-07,731,731,42,0,5132
rbc,A+,2006-04-08,278,278,21,0,4875
rbc,A+,2006-04-09,410,410,11,0,4476
