component_name,blood_type,date,required,supplied,received,expired,final_stock
rbc,A+,2006-01-01,289,289,8014,0,7725
rbc,A+,2006-01-02,154,154,7,0,7578
rbc,A+,2006-01-03,83,83,13,0,7508
rbc,A+,2006-01-04,83,83,5,0,7430
rbc,A+,2006-01-05,152,152,19,0,7297
rbc,A+,2006-01-06,159,159,21,0,7159
rbc,A+,2006-01-07,136,136,18,0,7041
rbc,A+,2006-01-08,104,104,11,0,6948
rbc,A+,2006-01-09,120,120,13,0,6841
rbc,A+,2006-01-10,486,486,25,0,6380
rbc,A+,2006-01-11,606,606,43,0,5817
rbc,A+,2006-01-12,504,504,34,0,5347
rbc,A+,2006-01-13,591,591,41,0,4797
rbc,A+,2006-01-14,217,217,22,0,4602
rbc,A+,2006-01-15,140,140,17,0,4479
rbc,A+,2006-01-16,305,305,35,0,4209
rbc,A+,2006-01-17,180,180,19,0,4048
rbc,A+,2006-01-18,230,230,20,0,3838
rbc,A+,2006-01-19,113,113,16,0,3741
rbc,A+,2006-01-20,167,167,20,0,3594
rbc,A+,2006-01-21,87,87,13,0,3520
rbc,A+,2006-01-22,62,62,8,3046,420
rbc,A+,2006-01-23,385,385,38,0,73
rbc,A+,2006-01-24,360,101,31,0,3
rbc,A+,2006-01-25,224,13,14,0,4
rbc,A+,2006-01-26,112,9,7,0,2
rbc,A+,2006-01-27,290,24,24,0,2
rbc,A+,2006-01-28,371,28,30,0,4
rbc,A+,2006-01-29,196,17,17,0,4
