component_name,blood_type,date,required,supplied,received,expired,final_stock
rbc,A+,2006-01-01,474,474,8721,0,8247
rbc,A+,2006-01-02,119,119,10,0,8138
rbc,A+,2006-01-03,577,577,28,0,7589
rbc,A+,2006-01-04,472,472,10,0,7127
rbc,A+,2006-01-05,415,415,19,0,6731
rbc,A+,2006-01-06,91,91,8,0,6648
rbc,A+,2006-01-07,636,636,28,0,6040
rbc,A+,2006-01-08,1335,1335,44,0,4749
rbc,A+,2006-01-09,676,676,37,0,4110
rbc,A+,2006-01-10,779,779,21,0,3352
rbc,A+,2006-01-11,1757,1757,28,0,1623
rbc,A+,2006-01-12,1758,1660,39,0,2
rbc,A+,2006-01-13,386,12,15,0,5
rbc,A+,2006-01-14,1346,1346,9010,0,7669
rbc,A+,2006-01-15,275,275,9,0,7403
rbc,A+,2006-01-16,1500,1500,43,0,5946
rbc,A+,2006-01-17,397,397,17,0,5566
rbc,A+,2006-01-18,420,420,31,0,5177
rbc,A+,2006-01-19,154,154,9,0,5032
rbc,A+,2006-01-20,241,241,30,0,4821
rbc,A+,2006-01-21,568,568,22,0,4275
rbc,A+,2006-01-22,380,380,14,0,3909
rbc,A+,2006-01-23,199,199,3,0,3713
rbc,A+,2006-01-24,309,309,18,0,3422
rbc,A+,2006-01-25,835,835,29,0,2616
rbc,A+,2006-01-26,994,994,27,0,1649
rbc,A+,2006-01-27,272,272,9,0,1386
rbc,A+,2006-01-28,501,501,25,0,910
rbc,A+,2006-01-29,516,516,7428,0,7822
rbc,A+,2006-01-30,444,444,10,0,7388
rbc,A+,2006-01-31,1314,1314,22,0,6096
rbc,A+,2006-02-01,638,638,8,0,5466
rbc,A+,2006-02-02,349,349,17,0,5134
rbc,A+,2006-02-03,1251,1251,35,0,3918
rbc,A+,2006-02-04,742,742,25,0,3201
rbc,A+,2006-02-05,1412,1412,48,0,1837
rbc,A+,2006-02-06,1971,1856,21,0,2
rbc,A+,2006-02-07,298,17,19,0,4
rbc,A+,2006-02-08,1359,1359,5812,0,4457
rbc,A+,2006-02-09,511,511,17,0,3963
rbc,A+,2006-02-10,850,850,24,0,3137
rbc,A+,2006-02-11,1061,1061,26,0,2102
rbc,A+,2006-02-12,1235,1235,32,0,899
rbc,A+,2006-02-13,404,404,20,0,515
rbc,A+,2006-02-14,97,97,14,0,432
rbc,A+,2006-02-15,392,392,8676,0,8716
rbc,A+,2006-02-16,792,792,10,0,7934
rbc,A+,2006-02-17,649,649,25,0,7310
rbc,A+,2006-02-18,961,961,27,0,6376
rbc,A+,2006-02-19,566,566,43,0,5853
rbc,A+,2006-02-20,1385,1385,37,0,4505
rbc,A+,2006-02-21,890,890,35,0,3650
rbc,A+,2006-02-22,1867,1867,38,0,1821
rbc,A+,2006-02-23,1267,1267,55,0,609
rbc,A+,2006-02-24,1482,639,34,0,4
rbc,A+,2006-02-25,140,140,6841,0,6705
rbc,A+,2006-02-26,679,679,26,0,6052
rbc,A+,2006-02-27,452,452,3,0,5603
rbc,A+,2006-02-28,318,318,12,0,5297
rbc,A+,2006-03-01,221,221,5,0,5081
rbc,A+,2006-03-02,399,399,28,0,4710
rbc,A+,2006-03-03,340,340,12,0,4382
rbc,A+,2006-03-04,640,640,27,0,3769
rbc,A+,2006-03-05,1761,1761,39,0,2047
rbc,A+,2006-03-06,293,293,18,0,1772
rbc,A+,2006-03-07,556,556,21,0,1237
rbc,A+,2006-03-08,99,99,12,0,1150
rbc,A+,2006-03-09,190,190,5842,0,6802
rbc,A+,2006-03-10,485,485,17,0,6334
rbc,A+,2006-03-11,656,656,21,0,5699
rbc,A+,2006-03-12,837,837,39,0,4901
rbc,A+,2006-03-13,825,825,35,0,4111
rbc,A+,2006-03-14,1169,1169,26,0,2968
rbc,A+,2006-03-15,2201,2201,46,0,813
rbc,A+,2006-03-16,1300,834,30,0,9
rbc,A+,2006-03-17,1476,44,43,0,8
rbc,A+,2006-03-18,1004,1004,7309,0,6313
rbc,A+,2006-03-19,554,554,19,0,5778
rbc,A+,2006-03-20,508,508,20,0,5290
rbc,A+,2006-03-21,245,245,17,0,5062
rbc,A+,2006-03-22,125,125,5,0,4942
rbc,A+,2006-03-23,295,295,21,0,4668
rbc,A+,2006-03-24,81,81,7,0,4594
rbc,A+,2006-03-25,813,813,19,0,3800
rbc,A+,2006-03-26,912,912,30,0,2918
rbc,A+,2006-03-27,677,677,25,0,2266
rbc,A+,2006-03-28,292,292,14,0,1988
rbc,A+,2006-03-29,659,659,27,0,1356
rbc,A+,2006-03-30,374,374,9,0,991
rbc,A+,2006-03-31,569,569,6024,0,6446
rbc,A+,2006-04-01,903,903,35,0,5578
rbc,A+,2006-04-02,499,499,23,0,5102
rbc,A+,2006-04-03,204,204,10,0,4908
rbc,A+,2006-04-04,286,286,13,0,4635
rbc,A+,2006-04-05,719,719,25,0,3941
rbc,A+,2006-04-06,1399,1399,59,0,2601
rbc,A+,2006-04-07,248,248,5,0,2358
rbc,A+,2006-04-08,1037,1037,27,0,1348
rbc,A+,2006-04-09,301,301,9,0,1056
rbc,A+,2006-04-10,943,943,33,0,146
rbc,A+,2006-04-11,1470,1470,6310,0,4986
rbc,A+,2006-04-12,498,498,15,0,4503
rbc,A+,2006-04-13,1268,1268,23,0,3258
rbc,A+,2006-04-14,268,268,13,0,3003
rbc,A+,2006-04-15,467,467,19,0,2555
rbc,A+,2006-04-16,481,481,26,0,2100
rbc,A+,2006-04-17,648,648,23,0,1475
rbc,A+,2006-04-18,162,162,3,0,1316
rbc,A+,2006-04-19,551,551,29,0,794
